Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder,97,-84.25,180,bottom
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,97,-79.75,90,bottom
C3,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.25,-81.5,180,bottom
C4,100uF,CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder,110.25,-75.75,-90,bottom
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,97,-69.75,180,bottom
C6,100uF,CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder,104.25,-72,0,bottom
C7,1uF,CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder,110,-94.75,-90,bottom
C8,5nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,105.5,-88.25,180,bottom
C9,5nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,110.25,-88.25,180,bottom
D1,LED,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,94,-74.75,90,bottom
Q1,2N7002,SOT-23,101.8,-104.4375,90,bottom
R1,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,93.75,-79.75,-90,bottom
R2,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.25,-74.75,-90,bottom
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,96.75,-103.5,0,bottom
R7,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,105.5,-84.75,180,bottom
R14,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,110.25,-84.75,180,bottom
U2,HT7333,SOT-89-3,105,-77,0,bottom
